"date";"births";"id.dom";"id.dow";"id.moy"
1969-02-11;2378;11;"mar\.";"févr"
1969-02-12;2403;12;"mer\.";"févr"
1969-02-13;2368;13;"jeu\.";"févr"
1969-02-14;2545;14;"ven\.";"févr"
1969-02-15;2429;15;"sam\.";"févr"
1969-02-16;2210;16;"dim\.";"févr"
1969-02-17;2388;17;"lun\.";"févr"
1969-02-18;2537;18;"mar\.";"févr"
1969-02-19;2490;19;"mer\.";"févr"
1969-02-20;2495;20;"jeu\.";"févr"
1969-02-21;2495;21;"ven\.";"févr"
1969-02-22;2500;22;"sam\.";"févr"
1969-02-23;2316;23;"dim\.";"févr"
1969-02-24;2448;24;"lun\.";"févr"
1969-02-25;2370;25;"mar\.";"févr"
1969-02-26;2414;26;"mer\.";"févr"
1969-02-27;2379;27;"jeu\.";"févr"
1969-02-28;2522;28;"ven\.";"févr"
1969-03-01;2457;1;"sam\.";"mars"
1969-03-02;2318;2;"dim\.";"mars"
1969-03-03;2543;3;"lun\.";"mars"
1969-03-04;2451;4;"mar\.";"mars"
1969-03-05;2535;5;"mer\.";"mars"
1969-03-06;2481;6;"jeu\.";"mars"
1969-03-07;2501;7;"ven\.";"mars"
1969-03-08;2450;8;"sam\.";"mars"
1969-03-09;2238;9;"dim\.";"mars"
1969-03-10;2501;10;"lun\.";"mars"
1969-03-11;2531;11;"mar\.";"mars"
1969-03-12;2508;12;"mer\.";"mars"
1969-03-13;2393;13;"jeu\.";"mars"
1969-03-14;2508;14;"ven\.";"mars"
1969-03-15;2440;15;"sam\.";"mars"
1969-03-16;2244;16;"dim\.";"mars"
1969-03-17;2494;17;"lun\.";"mars"
1969-03-18;2387;18;"mar\.";"mars"
1969-03-19;2414;19;"mer\.";"mars"
1969-03-20;2380;20;"jeu\.";"mars"
1969-03-21;2384;21;"ven\.";"mars"
1969-03-22;2339;22;"sam\.";"mars"
1969-03-23;2164;23;"dim\.";"mars"
1969-03-24;2445;24;"lun\.";"mars"
1969-03-25;2338;25;"mar\.";"mars"
1969-03-26;2380;26;"mer\.";"mars"
1969-03-27;2487;27;"jeu\.";"mars"
1969-03-28;2486;28;"ven\.";"mars"
1969-03-29;2344;29;"sam\.";"mars"
1969-03-30;2216;30;"dim\.";"mars"
1969-03-31;2514;31;"lun\.";"mars"
1969-04-01;2443;1;"mar\.";"avr"
1969-04-02;2493;2;"mer\.";"avr"
1969-04-03;2334;3;"jeu\.";"avr"
1969-04-04;2368;4;"ven\.";"avr"
1969-04-05;2367;5;"sam\.";"avr"
1969-04-06;2251;6;"dim\.";"avr"
1969-04-07;2176;7;"lun\.";"avr"
1969-04-08;2401;8;"mar\.";"avr"
1969-04-09;2547;9;"mer\.";"avr"
1969-04-10;2431;10;"jeu\.";"avr"
1969-04-11;2428;11;"ven\.";"avr"
1969-04-12;2389;12;"sam\.";"avr"
1969-04-13;2221;13;"dim\.";"avr"
1969-04-14;2327;14;"lun\.";"avr"
1969-04-15;2490;15;"mar\.";"avr"
1969-04-16;2372;16;"mer\.";"avr"
1969-04-17;2359;17;"jeu\.";"avr"
1969-04-18;2395;18;"ven\.";"avr"
1969-04-19;2359;19;"sam\.";"avr"
1969-04-20;2289;20;"dim\.";"avr"
1969-04-21;2493;21;"lun\.";"avr"
1969-04-22;2531;22;"mar\.";"avr"
1969-04-23;2456;23;"mer\.";"avr"
1969-04-24;2455;24;"jeu\.";"avr"
1969-04-25;2455;25;"ven\.";"avr"
1969-04-26;2448;26;"sam\.";"avr"
1969-04-27;2285;27;"dim\.";"avr"
1969-04-28;2431;28;"lun\.";"avr"
1969-04-29;2511;29;"mar\.";"avr"
1969-04-30;2513;30;"mer\.";"avr"
1969-05-01;2343;1;"jeu\.";"mai"
1969-05-02;2654;2;"ven\.";"mai"
1969-05-03;2660;3;"sam\.";"mai"
1969-05-04;2340;4;"dim\.";"mai"
1969-05-05;2524;5;"lun\.";"mai"
1969-05-06;2569;6;"mar\.";"mai"
1969-05-07;2520;7;"mer\.";"mai"
1969-05-08;2538;8;"jeu\.";"mai"
1969-05-09;2538;9;"ven\.";"mai"
1969-05-10;2634;10;"sam\.";"mai"
1969-05-11;2376;11;"dim\.";"mai"
1969-05-12;2749;12;"lun\.";"mai"
1969-05-13;2805;13;"mar\.";"mai"
1969-05-14;2692;14;"mer\.";"mai"
1969-05-15;2322;15;"jeu\.";"mai"
1969-05-16;2495;16;"ven\.";"mai"
1969-05-17;2484;17;"sam\.";"mai"
1969-05-18;2286;18;"dim\.";"mai"
1969-05-19;2468;19;"lun\.";"mai"
1969-05-20;2481;20;"mar\.";"mai"
1969-05-21;2492;21;"mer\.";"mai"
1969-05-22;2399;22;"jeu\.";"mai"
1969-05-23;2472;23;"ven\.";"mai"
1969-05-24;2538;24;"sam\.";"mai"
1969-05-25;2243;25;"dim\.";"mai"
1969-05-26;2225;26;"lun\.";"mai"
1969-05-27;2417;27;"mar\.";"mai"
1969-05-28;2438;28;"mer\.";"mai"
1969-05-29;2432;29;"jeu\.";"mai"
1969-05-30;2442;30;"ven\.";"mai"
1969-05-31;2320;31;"sam\.";"mai"
1969-06-01;2448;1;"dim\.";"juin"
1969-06-02;2347;2;"lun\.";"juin"
1969-06-03;2429;3;"mar\.";"juin"
1969-06-04;2415;4;"mer\.";"juin"
1969-06-05;2324;5;"jeu\.";"juin"
1969-06-06;2360;6;"ven\.";"juin"
1969-06-07;2351;7;"sam\.";"juin"
1969-06-08;2256;8;"dim\.";"juin"
1969-06-09;2490;9;"lun\.";"juin"
1969-06-10;2484;10;"mar\.";"juin"
1969-06-11;2453;11;"mer\.";"juin"
1969-06-12;2425;12;"jeu\.";"juin"
1969-06-13;2422;13;"ven\.";"juin"
1969-06-14;2451;14;"sam\.";"juin"
1969-06-15;2282;15;"dim\.";"juin"
1969-06-16;2328;16;"lun\.";"juin"
1969-06-17;2353;17;"mar\.";"juin"
1969-06-18;2407;18;"mer\.";"juin"
1969-06-19;2319;19;"jeu\.";"juin"
1969-06-20;2357;20;"ven\.";"juin"
1969-06-21;2365;21;"sam\.";"juin"
1969-06-22;2169;22;"dim\.";"juin"
1969-06-23;2351;23;"lun\.";"juin"
1969-06-24;2362;24;"mar\.";"juin"
1969-06-25;2322;25;"mer\.";"juin"
1969-06-26;2370;26;"jeu\.";"juin"
1969-06-27;2271;27;"ven\.";"juin"
1969-06-28;2319;28;"sam\.";"juin"
1969-06-29;2194;29;"dim\.";"juin"
1969-06-30;2428;30;"lun\.";"juin"
1969-07-01;2362;1;"mar\.";"juil"
1969-07-02;2389;2;"mer\.";"juil"
1969-07-03;2453;3;"jeu\.";"juil"
1969-07-04;2359;4;"ven\.";"juil"
1969-07-05;2517;5;"sam\.";"juil"
1969-07-06;2229;6;"dim\.";"juil"
1969-07-07;2358;7;"lun\.";"juil"
1969-07-08;2266;8;"mar\.";"juil"
1969-07-09;2261;9;"mer\.";"juil"
1969-07-10;2298;10;"jeu\.";"juil"
1969-07-11;2308;11;"ven\.";"juil"
1969-07-12;2341;12;"sam\.";"juil"
1969-07-13;2134;13;"dim\.";"juil"
1969-07-14;2161;14;"lun\.";"juil"
1969-07-15;2490;15;"mar\.";"juil"
1969-07-16;2565;16;"mer\.";"juil"
1969-07-17;2456;17;"jeu\.";"juil"
1969-07-18;2314;18;"ven\.";"juil"
1969-07-19;2305;19;"sam\.";"juil"
1969-07-20;2197;20;"dim\.";"juil"
1969-07-21;2291;21;"lun\.";"juil"
1969-07-22;2396;22;"mar\.";"juil"
1969-07-23;2420;23;"mer\.";"juil"
1969-07-24;2504;24;"jeu\.";"juil"
1969-07-25;2377;25;"ven\.";"juil"
1969-07-26;2305;26;"sam\.";"juil"
1969-07-27;2163;27;"dim\.";"juil"
1969-07-28;2355;28;"lun\.";"juil"
1969-07-29;2402;29;"mar\.";"juil"
1969-07-30;2202;30;"mer\.";"juil"
1969-07-31;2181;31;"jeu\.";"juil"
1969-08-01;2245;1;"ven\.";"août"
1969-08-02;2139;2;"sam\.";"août"
1969-08-03;1999;3;"dim\.";"août"
1969-08-04;2102;4;"lun\.";"août"
1969-08-05;2317;5;"mar\.";"août"
1969-08-06;2365;6;"mer\.";"août"
1969-08-07;2193;7;"jeu\.";"août"
1969-08-08;2376;8;"ven\.";"août"
1969-08-09;2279;9;"sam\.";"août"
1969-08-10;2097;10;"dim\.";"août"
1969-08-11;2279;11;"lun\.";"août"
1969-08-12;2262;12;"mar\.";"août"
1969-08-13;2253;13;"mer\.";"août"
1969-08-14;2209;14;"jeu\.";"août"
1969-08-15;2140;15;"ven\.";"août"
1969-08-16;2072;16;"sam\.";"août"
1969-08-17;2029;17;"dim\.";"août"
1969-08-18;2176;18;"lun\.";"août"
1969-08-19;2236;19;"mar\.";"août"
1969-08-20;2250;20;"mer\.";"août"
1969-08-21;2179;21;"jeu\.";"août"
1969-08-22;2183;22;"ven\.";"août"
1969-08-23;2198;23;"sam\.";"août"
1969-08-24;2024;24;"dim\.";"août"
1969-08-25;2132;25;"lun\.";"août"
